index,中文prompt,英文prompt,running_params,intent_summary,inferred_task_type,generation_instructions,traffic_code_analysis,score,is_qualified,evaluation_detail,reference_points_json,discard_elements_json
效果广告爆款_002,参考 the video 的切镜和动作，生成展示 Image 1 中的杯子的视频，把【星巴克】的台词和文字修改为【瑞幸】。,参考 the video 的切镜和动作，生成展示 Image 1 中的杯子的视频，把【星巴克】的台词和文字修改为【瑞幸】。,"{""duration"": ""11s"", ""aspect_ratio"": ""16:9"", ""prefer_multi_shots"": true}",将原视频中的星巴克杯子替换为图片中的瑞幸杯子，保留原有的切镜节奏和展示动作，并将台词与字幕中的品牌名称进行对应替换。,Edit,视觉层：在室内桌面背景下，生成展示白色瑞幸不锈钢杯（参考Image 1）的视频。严格复刻原视频的快切镜头和动作序列：依次展示往瑞幸杯中加冰块、倒咖啡、手持展示瑞幸杯身Logo、展示杯底、展示杯内，最后盖上盖子用力狂甩。画面字幕需将‘星巴克’修改为‘瑞幸’。音频层：保留原视频高昂的男声解说语气以及倒冰块、倒水、狂甩杯子的音效，将解说台词中的‘星巴克’精准替换为‘瑞幸’。,"{""visual_layer_hooks"": [""快节奏的特写切镜保持了极高的视觉吸引力，防止观众划走"", ""‘狂甩不漏’的夸张暴力测试动作直击保温杯用户痛点，具有极强的视觉冲击力和说服力"", ""冰块与咖啡交融的特写画面自带清凉感，容易激发观众的饮用欲望""], ""audio_layer_hooks"": [""‘竟然是送的’、‘高人指点’等充满悬念和情绪价值的开场白文案，能瞬间抓住听众的好奇心"", ""冰块撞击金属杯壁的清脆声和倒水声具有ASMR（自发性知觉经络反应）效果，提升了听觉层面的爽感""]}",34,False,1. 视觉主体替换失败且前后不一致：视频前两个镜头（倒冰块、倒咖啡）依然使用的是原视频的黑色星巴克杯，未能替换为指定的白色瑞幸杯，导致视频出现严重的穿帮。2. 音频生成质量极差：台词虽然替换了关键词，但开头出现了多余的AI配音，中间台词严重缺失（漏掉了一整句），且原视频的冰块、水流等环境音效全部丢失。,"{""assets_mapping"": [{""asset_id"": ""the video"", ""visual_layer"": {""subject_actions"": [""[P0] 用冰铲往杯中倒入冰块"", ""[P0] 手持一瓶咖啡往装有冰块的杯子中倒入咖啡"", ""[P0] 手持杯子展示杯身外观"", ""[P0] 翻转杯子展示杯底"", ""[P0] 展示杯子内部结构"", ""[P0] 盖上杯盖后，手持杯子上下用力狂甩""], ""editing_techniques"": [""[P0] 采用快切剪辑手法，紧凑衔接倒冰块、倒咖啡、展示杯身、杯底、杯内以及狂甩杯子的特写镜头""], ""environment"": [""[P1] 室内桌面场景，背景有百叶窗，桌面上摆放着多瓶瓶装咖啡饮料""], ""presentation_format"": [""[P1] 典型的短视频带货/产品展示体裁，通过连续的特写镜头和夸张的测试动作（狂甩）来突出产品卖点""]}, ""audio_layer"": {""dialogue_content"": [""[P0] 复用原视频的解说文案结构，但必须将台词中的‘星巴克’替换为‘瑞幸’（如：瑞幸背后肯定有高人指点）""], ""dialogue_style"": [""[P1] 充满惊喜感、情绪高昂的男声推销式解说语气""], ""sound_effects"": [""[P1] 冰块落入不锈钢杯的清脆撞击声"", ""[P1] 液体倒入杯中的水流声"", ""[P1] 狂甩杯子时内部冰块与杯壁剧烈撞击的声响""]}}, {""asset_id"": ""Image 1"", ""visual_layer"": {""entity_subject"": [""[P0] 一个白色的不锈钢随行杯，杯身呈上宽下窄的圆柱体，表面为哑光白色，杯身下方印有蓝色的瑞幸咖啡（luckin coffee）鹿头标志，杯口露出银色的不锈钢内胆边缘""]}, ""audio_layer"": {}}]}","{""visual_layer_discards"": [""原视频中的黑色渐变星巴克不锈钢杯及星巴克Logo"", ""原视频画面字幕中出现的‘星巴克’文字""], ""audio_layer_discards"": [""原音频台词中的‘星巴克’发音""]}"
效果广告爆款_003,参考 the video 中人物的动作，生成展示 object_1 的视频，将画外音和字幕变为：「多」和「新」，是两个关键字眼，也是这款号称拥有三个「全球首个」的折叠屏手机的最佳卖点概括。,"Referring to the actions of the characters in the video, generate a video demonstrating object_1, and change the voice-over and subtitles to: 「多」和「新」，是两个关键字眼，也是这款号称拥有三个「全球首个」的折叠屏手机的最佳卖点概括。","{""duration"": ""8s"", ""aspect_ratio"": ""16:9"", ""prefer_multi_shots"": false}",复用原视频中第一人称视角的双手展示与开合动作，将展示主体替换为图集中的华为三折叠屏手机，并生成全新的中文画外音与字幕。,Reference,生成一段第一人称视角的科技产品展示视频。视觉层：在纯白极简背景下，一双男性的手拿起一部华为红色三折叠屏手机（特征严格遵循object_1：红色素皮背板、金色边框、八角形镜头模组），在空中翻转展示背面后放回桌面，并单手展开折叠屏幕；画面需添加中文字幕：「多」和「新」，是两个关键字眼，也是这款号称拥有三个「全球首个」的折叠屏手机的最佳卖点概括。音频层：生成与字幕内容完全一致的专业男声画外音，并配合设备放置于桌面与展开屏幕时的真实物理音效。,"{""visual_layer_hooks"": [""第一人称沉浸式开箱视角带来的强烈代入感"", ""极简纯白背景营造的苹果风高级感与视觉绝对聚焦"", ""流畅丝滑的半空翻转动作，动态展现产品的轻薄度与工业设计""], ""audio_layer_hooks"": [""清脆悦耳的设备放置与开合物理音效，具有极强的ASMR解压属性"", ""自信沉稳的广告级解说节奏，提升产品的专业度与可信度""]}",49,False,核心P0动作要求严重缺失，视频中未能实现“翻转设备”、“放置于桌面”以及“单手展开”等关键动作。,"{""assets_mapping"": [{""asset_id"": ""the video"", ""visual_layer"": {""subject_actions"": [""[P0] 画面中一双男性的手从两侧抓握拿起设备，在半空中将其翻转以展示背面，随后将其平稳放置于桌面上，最后右手单手掀开/展开设备。""], ""composition"": [""[P1] 第一人称视角的近景特写，画面中心始终聚焦于双手与被展示的设备。""], ""environment"": [""[P1] 纯白色的极简无边际背景与桌面。""], ""presentation_format"": [""[P1] 科技产品开箱与外观细节展示体裁。""]}, ""audio_layer"": {""dialogue_style"": [""[P1] 专业、自信且节奏明快的科技产品广告男声解说语气。""], ""sound_effects"": [""[P1] 设备放置在桌面上的轻微碰撞声，以及打开设备时的物理摩擦/阻尼音效。""]}}, {""asset_id"": ""object_1"", ""visual_layer"": {""entity_subject"": [""[P0] 华为三折叠屏手机，外观特征包含：正红色的素皮材质背板、亮金色的金属边框与多重铰链结构、背部中央醒目的八角形后置摄像头模组（边缘带金边），以及背板上印有的'HUAWEI'和'ULTIMATE DESIGN'金色字样。""]}, ""audio_layer"": {}}]}","{""visual_layer_discards"": [""原视频中的 MacBook Neo 笔记本电脑主体"", ""原视频中的中英文字幕""], ""audio_layer_discards"": [""原视频中的英文画外音台词内容""]}"
效果广告爆款_004,参考 the video 的切镜和人物的动作，以object_1为主体，生成展示 Image 1 和Image 2 中的服饰的视频，保留原视频的背景音乐。,"Refer to the cuts and character actions in the video, using object_1 as the main subject, generate a video showcasing the outfits in Image 1 and Image 2, while retaining the original background music from the video.","{""duration"": ""5s"", ""aspect_ratio"": ""9:16"", ""prefer_multi_shots"": true}",结合原视频的变装特效、动作和音乐，将主体替换为指定的亚洲女性，并让其穿戴指定的黑色墨镜与黑色西装裙。,Reference,提取the video中的柏油路背景、人物向前走动并双手插兜的动作、以及衣服悬空飞向人物完成变装的特效剪辑手法；将视频主体替换为object_1中的黑发亚洲女性；在变装特效中，将飞向人物并最终穿戴在身上的服饰替换为Image 1中的侧边带金色'palm'字样的黑色墨镜，以及Image 2中的带金色纽扣的黑色短袖西装裙；音频层完全复用the video的英文节奏背景音乐。,"{""visual_layer_hooks"": [""极具视觉冲击力的'衣服悬空飞上身'无缝变装特效"", ""强烈的阳光与阴影对比营造的街头高级质感"", ""人物自信酷飒的步伐与姿态""], ""audio_layer_hooks"": [""节奏感极强、带有慵懒氛围的英文BGM，能够完美配合变装画面的视觉卡点""]}",28,False,严重缺失P0级别的核心视觉与动作元素：未实现服饰悬空飞向人物完成变装的特效剪辑，且人物未执行向前走动并双手插兜的动作。此外，音频层完全未复用原视频的背景音乐，音频P0项判定失败。,"{""assets_mapping"": [{""asset_id"": ""the video"", ""visual_layer"": {""editing_techniques"": [""[P0] 视频中独特的变装特效剪辑，即服饰部件在半空中悬浮出现，随后快速飞向并穿戴在人物身上的视觉呈现方式""], ""subject_actions"": [""[P0] 人物在画面中央迎面走来，步伐自信，变装完成后双手插进衣服口袋的动作""], ""environment"": [""[P1] 灰黑色的户外柏油路面，画面带有明显的阳光直射光影与人物投射在地面上的清晰阴影""], ""camera_movement"": [""[P1] 镜头保持固定机位，主体始终处于画面中央""]}, ""audio_layer"": {""music_exact"": [""[P0] 原视频中带有慵懒感和强烈鼓点节奏的英文流行背景音乐""]}}, {""asset_id"": ""Image 1"", ""visual_layer"": {""entity_subject"": [""[P0] 一副黑色的长方形粗框墨镜，其核心特征是宽大的镜腿侧面镶嵌有金色的哥特式“palm”字样金属装饰""]}, ""audio_layer"": {}}, {""asset_id"": ""Image 2"", ""visual_layer"": {""entity_subject"": [""[P0] 一件剪裁挺括的黑色短袖西装裙，采用双排扣收腰设计，腰际线处点缀有两颗醒目的金色圆形浮雕纽扣，左胸配有平直口袋""]}, ""audio_layer"": {}}, {""asset_id"": ""object_1"", ""visual_layer"": {""entity_subject"": [""[P0] 图集中展示的年轻亚洲女性特征，包括黑色的长卷发、白皙的皮肤、柔和的五官轮廓以及清秀的面容""]}, ""audio_layer"": {}}]}","{""visual_layer_discards"": [""原视频中的金发女性主体"", ""原视频中的黑色星星印花T恤及黑色阔腿裤"", ""原视频变装后的白色涂鸦连帽外套及同款长裤"", ""原视频中的银色边框墨镜""], ""audio_layer_discards"": []}"
效果广告爆款_005,将 the video 中的女人替换为 object_1 ，保持 the video 中人物的动作和周围运动效果。,"Replace the woman in the video with object_1, maintaining the actions of the character in the video and the surrounding motion effects.","{""duration"": ""6s"", ""aspect_ratio"": ""16:9"", ""prefer_multi_shots"": false}",将视频中的女主角替换为指定的亚洲女性图集形象，同时保留原视频的人物动作、背景环境及背景动态模糊特效。,Edit,将原视频中的主体人物替换为object_1中的亚洲女性（高马尾、黑色短款牛仔外套、白色露脐内搭、深蓝色破洞牛仔裤、白色厚底鞋）。保持人物在街道中央静止站立的动作，保留原视频的巴黎街道背景以及背景中强烈的动态模糊（时间流逝）特效，保留原视频的背景音乐。,"{""visual_layer_hooks"": [""主体绝对静止与背景强烈动态模糊形成的'时间静止'视觉反差"", ""极具时尚感的冷色调街拍质感""], ""audio_layer_hooks"": [""节奏感强、极具态度的流行说唱BGM，完美契合酷飒的街拍氛围""]}",70,False,音频严重偏离。指令要求保留原视频背景音乐，但生成视频完全替换了音频，丢失了原视频中的说唱人声/台词。,"{""assets_mapping"": [{""asset_id"": ""the video"", ""visual_layer"": {""environment"": [""[P0] 巴黎风格的街道，两侧为古典建筑，背景有行驶的汽车和行人""], ""subject_actions"": [""[P0] 人物站在街道中央，直视镜头，保持静止站立的姿态""], ""special_effects"": [""[P0] 背景呈现强烈的动态模糊（运动模糊）效果，营造出周围事物快速移动、时间流逝的视觉冲击""], ""visual_style"": [""[P1] 偏冷色调的时尚街拍风格""]}, ""audio_layer"": {""music_exact"": [""[P1] 节奏感强的说唱/流行背景音乐""]}}, {""asset_id"": ""object_1"", ""visual_layer"": {""entity_subject"": [""[P0] 年轻的亚洲女性，扎着高马尾，留着空气刘海，身穿黑色短款长袖牛仔外套，内搭白色露脐吊带，下穿深蓝色破洞微喇牛仔裤，脚踩白色厚底运动鞋，佩戴黑色心形项链和银色耳环""]}, ""audio_layer"": {}}]}","{""visual_layer_discards"": [""原视频中穿着卡其色风衣、腰间系着灰色衣服、戴着黑色帽子和墨镜的白人女性""], ""audio_layer_discards"": []}"
效果广告爆款_008,以 Image 1 为主体，服饰参考 object_1 中的服饰，参考 the video 视频效果，生成一段视频。,"Generate a video with Image 1 as the main subject, incorporating clothing from object_1 and referencing the video effects in the video.","{""duration"": ""12s"", ""aspect_ratio"": ""16:9"", ""prefer_multi_shots"": true}",将指定的男性主体换上图集中的前卫服饰，并套用原视频的时尚大片快切展示与特效风格生成新视频。,Reference,生成一段时尚展示视频。视觉上：主体必须是Image 1中的亚洲男性，身穿object_1中展示的前卫先锋服饰。画面需采用the video的极简背景和高级光影质感，运用快切剪辑、快速推拉镜头，在半身摆拍展示与服饰细节特写之间来回切换。必须加入相机取景框UI特效和时尚文字排版叠加。音频上：使用快节奏的电子时尚BGM，并在画面切换和取景框出现时配合清脆的相机快门音效。,"{""visual_layer_hooks"": [""极具视觉冲击力的快切剪辑"", ""高级时尚大片质感与极简背景"", ""取景框与文字排版特效带来的专业杂志感""], ""audio_layer_hooks"": [""动感洗脑的电子节奏"", ""清脆的快门音效增强节奏感和时尚拍摄代入感""]}",61.5,False,P0级别要求中缺失了关键的“文字叠加排版特效”以及“相机快门音效”；P1级别中背景设定偏离了“干净极简”的要求（使用了城市夜景）。,"{""assets_mapping"": [{""asset_id"": ""Image 1"", ""visual_layer"": {""entity_subject"": [""[P0] 亚洲男性主体，黑色短发，面部轮廓清晰，五官立体""]}, ""audio_layer"": {}}, {""asset_id"": ""object_1"", ""visual_layer"": {""entity_subject"": [""[P0] 前卫、夸张的先锋时尚服饰，如带有水钻/珍珠线条装饰的黑色套装、解构风破洞牛仔裤、带毛领的廓形西装或红黑拼接皮衣等""]}, ""audio_layer"": {}}, {""asset_id"": ""the video"", ""visual_layer"": {""camera_movement"": [""[P0] 快速的推拉镜头，多角度视角的迅速切换""], ""composition"": [""[P0] 人物半身景别与局部细节（如面部、服饰细节）的特写构图""], ""editing_techniques"": [""[P0] 极具节奏感的快切剪辑，配合音乐卡点的转场""], ""special_effects"": [""[P0] 模拟相机取景框的UI特效，以及时尚杂志风格的文字叠加排版特效""], ""visual_style"": [""[P1] 高级时尚大片质感，干净极简的背景，高对比度清晰光影""], ""subject_actions"": [""[P1] 模特在镜头前进行时尚杂志风格的冷酷摆拍动作""], ""presentation_format"": [""[P1] 类似时尚大片拍摄花絮或单品展示的动态体裁""]}, ""audio_layer"": {""sound_effects"": [""[P0] 清脆的相机快门音效，与画面中的取景框特效和剪辑点强绑定""], ""music_genre"": [""[P1] 快节奏、动感且具有时尚秀场氛围的电子背景音乐""]}}]}","{""visual_layer_discards"": [""the video 中的白人女性模特及主推的墨镜单品"", ""Image 1 中的深灰色风衣套装及跑车街景背景"", ""object_1 中的各路模特长相与背景""], ""audio_layer_discards"": []}"
效果广告爆款_009,以 object_1 为主体，参考 the video 视频中的运镜，构图，生成一段新的视频。,"Using object_1 as the main subject, refer to the camera movements and composition in the video to create a new video.","{""duration"": ""10s"", ""aspect_ratio"": ""9:16"", ""prefer_multi_shots"": false}",将图集 object_1 中的女性主体与 the video 的五等分水平分屏构图及多角度景别展示手法相结合，生成一段新的视频。,Reference,生成一段视频，画面采用五等分水平横向分屏构图。主体替换为指定的年轻亚洲女性（双麻花辫，穿黑色西装外套、白衬衫、带雪花胸针的黑领带、黑百褶裙和黑长筒袜）。五个分屏从上到下分别以固定机位同步展示该女性的：低角度特写、平视高角度、极近特写、四分之三侧面中景、全身广角。每个分屏左侧需保留对应的白色英文镜头术语排版文字。,"{""visual_layer_hooks"": [""极具视觉冲击力的五等分水平分屏构图，结合不同景别（特写、中景、全景）和机位角度的同步展示，配合专业的镜头术语文字排版，呈现出强烈的时尚大片质感和专业摄影教学感。""], ""audio_layer_hooks"": [""节奏感强烈的嘻哈/说唱风格背景音乐，带有男声rap，极大地增强了视频的动感、张力和时尚潮流氛围。""]}",63,True,,"{""assets_mapping"": [{""asset_id"": ""object_1"", ""visual_layer"": {""entity_subject"": [""[P0] 年轻亚洲女性，拥有精致妆容，棕色长发扎成双麻花辫，身穿黑色宽松西装外套、内搭白色衬衫、系着带有雪花水钻胸针的黑色领带，下身穿黑色百褶短裙和黑色长筒袜，留有白色长款美甲。""]}, ""audio_layer"": {}}, {""asset_id"": ""the video"", ""visual_layer"": {""camera_movement"": [""[P0] 静态机位拍摄，无明显的推拉摇移运动，依赖不同机位的固定角度进行展示。""], ""composition"": [""[P0] 画面被水平分割为五个等宽的横向条带，从上到下分别展示主体的不同景别和角度：低角度特写（LOW-ANGLE CLOSE-UP）、平视高角度（EYE-ANGLE HIGH ANGLE）、极近特写（TIGHT CLOSE-UP）、四分之三侧面中景（THREE-QUARTER SIDE SHOT）、全身广角（FULL-BODY WIDE SHOT）。""], ""presentation_format"": [""[P1] 多分屏画中画同步展示，每个分屏左侧带有描述该镜头角度和景别的白色无衬线英文字母排版。""]}, ""audio_layer"": {}}]}","{""visual_layer_discards"": [""the video中穿着黑色高领毛衣、戴着红色镜片墨镜的白种男子主体""], ""audio_layer_discards"": []}"
效果广告爆款_011,以 Image 1 为主体，参考 the video 视频中的运镜，视频效果，生成一段新的视频。,"Generate a new video using Image 1 as the main subject, referencing the camera movements and video effects from the video.","{""duration"": ""6s"", ""aspect_ratio"": ""9:16"", ""prefer_multi_shots"": true}",以图片中的双层黄金项链为主体，复用视频中打响指卡点转场的特写运镜与剪辑效果，生成一段展示该项链的新视频。,Reference,生成一段视频，画面主体替换为Image 1中的双层黄金项链（佩戴在女性模特的颈部）。保留the video中的特写构图、暖色调光影以及女性模特的局部特征。画面前景需出现涂有红色指甲油的手指打响指的动作，并配合响指动作与清脆音效，使用快切和卡点转场效果全方位展示该项链的细节与佩戴效果。背景音乐需具备强烈的节奏感以契合转场。,"{""visual_layer_hooks"": [""极具视觉冲击力的局部特写构图"", ""配合响指动作的丝滑卡点换物转场"", ""黄金首饰在暖光下的高级质感展现""], ""audio_layer_hooks"": [""清脆解压的响指音效"", ""节奏感极强的卡点背景音乐""]}",37,False,1. 核心视觉主体替换失败：未能生成Image 1中要求的双层项链及T型扣结构，仅生硬替换了局部吊坠。2. 音频关键元素缺失：丢失了原视频中配合转场的关键打响指音效，导致视听结合的卡点效果失效。,"{""assets_mapping"": [{""asset_id"": ""Image 1"", ""visual_layer"": {""entity_subject"": [""[P0] 一条双层黄金项链，上层为较粗的链条搭配T型扣，下层为细链条搭配带有镶钻C字母和菱格纹的长方形吊坠""]}, ""audio_layer"": {}}, {""asset_id"": ""the video"", ""visual_layer"": {""camera_movement"": [""[P0] 针对首饰佩戴部位的极近距离特写镜头，保持焦点在首饰上""], ""editing_techniques"": [""[P0] 配合前景动作（如打响指）进行的快速剪辑与无缝卡点转场""], ""entity_subject"": [""[P1] 佩戴首饰的女性模特局部特征（包括白皙的颈部肌肤、耳部以及涂有红色指甲油的手指）""], ""subject_actions"": [""[P1] 人物手指在画面前景打响指的动作""], ""composition"": [""[P1] 聚焦于人物局部（如颈部）的特写构图，虚化背景以突出首饰细节""], ""visual_style"": [""[P1] 柔和且富有质感的暖色调光影，强调黄金首饰的金属光泽与高级感""]}, ""audio_layer"": {""sound_effects"": [""[P1] 清脆的打响指音效，与画面的视觉转场严格同步""], ""music_genre"": [""[P1] 具有明显节奏感、适合配合动作卡点剪辑的背景音乐""]}}]}","{""visual_layer_discards"": [""the video中原有的多款黄金项链与耳环（被Image 1中的双层黄金项链替换）""], ""audio_layer_discards"": []}"
效果广告爆款_015,参考  the video 视频中的切镜效果，光影变化，商品展示，构图等，以 Image 1 为主体，生成一段新视频。,"Referring to the video, create a new video using Image 1 as the main subject, incorporating the video’s transitions, lighting changes, product display techniques, and composition.","{""duration"": ""10s"", ""aspect_ratio"": ""9:16"", ""prefer_multi_shots"": true}",以图片中的黑色香水瓶为主体，复用视频中的快切剪辑、光影质感、微距构图和商品展示逻辑，生成一段高级质感的香水展示视频。,Reference,生成一段商品展示视频。画面主体完全替换为Image 1中的黑色纪梵希香水瓶。视觉上采用the video中极简纯净的背景与柔和高级的光影变化；构图上大量使用居中对称与微距特写镜头；剪辑上运用快速切镜手法，按照从整体外观到局部细节（如瓶盖、绑带、透明底座）的逻辑进行全方位展示。可配合清脆的ASMR音效增强沉浸感。,"{""visual_layer_hooks"": [""极度舒适的微距质感特写"", ""极简高级的视觉美学"", ""快节奏且丝滑的切镜带来的视觉爽感""], ""audio_layer_hooks"": [""解压且沉浸感极强的ASMR音效""]}",27,False,商品主体还原出现严重幻觉（纪梵希香水出现香奈儿Logo，且混入原视频的蓝色软管素材）；音频完全未遵循ASMR音效的要求。,"{""assets_mapping"": [{""asset_id"": ""the video"", ""visual_layer"": {""editing_techniques"": [""[P0] 快速的切镜效果，包含多角度、不同景别的画面无缝衔接与快切转场""], ""visual_style"": [""[P0] 极简纯净的背景风格，配合柔和且富有层次感的高级光影变化，突出物体的材质与立体感""], ""presentation_format"": [""[P0] 专业的商品展示逻辑，从产品整体外观展示逐步过渡到极近距离的局部细节与材质质感展示""], ""composition"": [""[P0] 强烈的居中对称构图，结合极近距离的微距特写镜头，画面保持适当留白""]}, ""audio_layer"": {""sound_effects"": [""[P1] 配合画面动作与转场的沉浸式ASMR拟音音效（如物体摩擦、接触等清脆声音）""]}}, {""asset_id"": ""Image 1"", ""visual_layer"": {""entity_subject"": [""[P0] 一瓶纪梵希（GIVENCHY）L'INTERDIT ABSOLU香水，主体为黑色亮面材质，带有黑色瓶盖，颈部有黑色绑带与银色Logo细节，瓶身底部为透明玻璃质感""]}, ""audio_layer"": {}}]}","{""visual_layer_discards"": [""the video中的浅蓝色管状护肤品、包装纸盒、白色膏体、金属刮刀以及人的皮肤""], ""audio_layer_discards"": []}"
效果广告爆款_016,以 Image 1 为主体，参考 the video 视频中的运镜，视频效果，生成一段新的视频。,"Create a new video using Image 1 as the main subject, referencing the camera movements and video effects from the video.","{""duration"": ""10s"", ""aspect_ratio"": ""16:9"", ""prefer_multi_shots"": false}",将图片中的洗护用品作为主体，结合原视频中动感快速的推拉运镜、卡点快切剪辑以及水花飞溅等视觉特效，生成一段具有强烈节奏感的产品展示视频。,Reference,生成一段视频，画面主体为三个胶囊状的洗护用品瓶子（绿色、黄色、粉色，哑光质感）悬浮在纯红色背景中。应用极具动感的快速推拉运镜和镜头平移，配合强烈的节奏进行快切和卡点转场（带有动感模糊）。在镜头切换和定格时，在洗护用品瓶子周围添加水花飞溅或相关成分炸开的视觉特效。音频使用原视频中节奏感强的动感电子/说唱音乐以匹配画面的卡点效果。,"{""visual_layer_hooks"": [""极具视觉冲击力的快速推拉运镜"", ""踩准节奏的卡点快切剪辑"", ""动感模糊与水花飞溅特效结合带来的爽快感""], ""audio_layer_hooks"": [""洗脑且节奏感极强的电子说唱音乐"", ""强烈的重低音鼓点提供的情绪释放感""]}",35,False,P0级别的动感运镜（快速推拉、震动）和带有动感模糊的卡点快切转场严重缺失；音频完全偏离参考要求，未使用原视频的说唱音乐，导致整体视频丧失了要求的节奏感和卡点效果。,"{""assets_mapping"": [{""asset_id"": ""Image 1"", ""visual_layer"": {""entity_subject"": [""[P0] 三个胶囊状的洗护用品瓶子（DUET品牌，分别为绿色、黄色、粉色），表面具有高级的哑光质感""], ""environment"": [""[P1] 纯红色背景""], ""composition"": [""[P1] 物品悬浮在空中、错落有致的构图""]}, ""audio_layer"": {}}, {""asset_id"": ""the video"", ""visual_layer"": {""camera_movement"": [""[P0] 极具动感的快速推拉镜头（zoom in/out），伴随镜头快速平移与轻微震动""], ""editing_techniques"": [""[P0] 配合音乐鼓点的快速剪辑（快切），带有动感模糊（motion blur）的卡点转场""], ""special_effects"": [""[P0] 物品周围爆发出水花飞溅、相关成分元素掉落或炸开的动态视觉特效""]}, ""audio_layer"": {""music_exact"": [""[P1] 节奏感强、带有明显鼓点和人声的动感电子/说唱背景音乐，用于配合画面的卡点剪辑""]}}]}","{""visual_layer_discards"": [""the video中的易拉罐饮料主体"", ""the video中的户外公园与白色长椅背景""], ""audio_layer_discards"": []}"
效果广告爆款_017,参考 the video 视频运镜效果，生成一段主体为 Image 1 ，Image 2，Image 3，Image 4 的视频。,"Referencing the video camera movement effect, generate a video with the main subjects being Image 1, Image 2, Image 3, and Image 4.","{""duration"": ""9s"", ""aspect_ratio"": ""9:16"", ""prefer_multi_shots"": false}",用户希望以原视频的卡点跳切展示节奏和固定机位为模板，将视频中的展示主体替换为提供的四款香水/香氛瓶图片。,Reference,保持原视频的固定机位与暖色渐变极简背景，复用原视频的跳切/定格剪辑手法与卡点节奏。将画面中央的主体依次替换为 Image 1、Image 2、Image 3、Image 4 中的四款香水/香氛瓶，让这四款产品随着原视频的动感BGM和清脆音效，在画面中央瞬间出现并依次切换展示。,"{""visual_layer_hooks"": [""极简背景下的高对比度视觉聚焦"", ""跳切卡点带来的视觉爽感与节奏感"", ""物品凭空出现的魔术般视觉特效""], ""audio_layer_hooks"": [""节奏感极强的洗脑电子BGM"", ""清脆悦耳、具有ASMR属性的动作触发音效（拍手、卡点声）""]}",28,False,1. 严重违反了视频运镜和剪辑的 P0 要求：未使用固定机位和跳切手法，而是使用了平移镜头导致物品滑动出现；2. 音频完全错误：未保留原视频的BGM和卡点音效，替换成了完全不相关的音乐。,"{""assets_mapping"": [{""asset_id"": ""the video"", ""visual_layer"": {""camera_movement"": [""[P0] 保持固定机位（Static Camera），无明显的推拉摇移，将视觉焦点完全集中在画面正中央的主体展示区域""], ""editing_techniques"": [""[P0] 运用硬切/跳切（Jump Cut）或定格动画式的剪辑手法，使主体物品在画面中央瞬间出现、无缝切换或消失，形成强烈的视觉卡点节奏""], ""presentation_format"": [""[P1] 采用极简的纯色/暖色渐变背景，居中展示物品，突出主体的轮廓与质感""]}, ""audio_layer"": {""music_exact"": [""[P1] 保留原视频中节奏感强烈的电子流行背景音乐""], ""sound_effects"": [""[P1] 保留原视频中配合动作和物品出现的清脆卡点音效（如拍手声、清脆的打击声）""]}}, {""asset_id"": ""Image 1"", ""visual_layer"": {""entity_subject"": [""[P0] 一款透明玻璃香水瓶，配有黑色圆柱形瓶盖，瓶身印有黑色的 'QUEENS & MONSTERS', 'HENRY ROSE', 'EAU DE PARFUM' 字样，瓶内装有浅黄色液体""]}, ""audio_layer"": {}}, {""asset_id"": ""Image 2"", ""visual_layer"": {""entity_subject"": [""[P0] 一款装有绿色液体的香氛瓶，配有深棕色木质纹理的圆柱形瓶盖，瓶身贴有复古黄色方形标签，印有 'NECTAR AMBRÉ', 'HOME FRAGRANCE'，瓶身下半部分带有竖条状凹凸玻璃纹理""]}, ""audio_layer"": {}}, {""asset_id"": ""Image 3"", ""visual_layer"": {""entity_subject"": [""[P0] 一款透明玻璃香水瓶，配有白色倒置花苞形状的瓶盖和金色金属颈部，瓶身正面镶嵌有带金色麻花边缘的椭圆形白色浮雕（图案为神兽与植物），瓶身整体带有密集的竖条状凹凸纹理""]}, ""audio_layer"": {}}, {""asset_id"": ""Image 4"", ""visual_layer"": {""entity_subject"": [""[P0] 一款浅蓝色磨砂质感的香水瓶，配有白色精致雕花圆顶瓶盖，瓶颈处缠绕并悬挂着一条银色编织链条，末端带有椭圆形银色金属吊牌（印有 'LONGDEBAI' 及相关字样），瓶身带有竖条状凹凸纹理""]}, ""audio_layer"": {}}]}","{""visual_layer_discards"": [""原视频中的人物手臂及佩戴的白色镂空表带手表"", ""原视频中的绿色 Mary Kay 护手霜/乳液"", ""原视频结尾出现的 'MARY KAY' 黑色品牌文字""], ""audio_layer_discards"": []}"
